IncidntNum,Category,Date
21,ARSON,01/2005
696,BURGLARY,01/2005
2027,LARCENY/THEFT,01/2005
55,STOLEN PROPERTY,01/2005
489,VANDALISM,01/2005
1681,VEHICLE THEFT,01/2005
17,ARSON,02/2005
547,BURGLARY,02/2005
1724,LARCENY/THEFT,02/2005
40,STOLEN PROPERTY,02/2005
462,VANDALISM,02/2005
1362,VEHICLE THEFT,02/2005
18,ARSON,03/2005
653,BURGLARY,03/2005
2022,LARCENY/THEFT,03/2005
46,STOLEN PROPERTY,03/2005
579,VANDALISM,03/2005
1473,VEHICLE THEFT,03/2005
24,ARSON,04/2005
550,BURGLARY,04/2005
1913,LARCENY/THEFT,04/2005
41,STOLEN PROPERTY,04/2005
577,VANDALISM,04/2005
1586,VEHICLE THEFT,04/2005
13,ARSON,05/2005
619,BURGLARY,05/2005
2177,LARCENY/THEFT,05/2005
55,STOLEN PROPERTY,05/2005
653,VANDALISM,05/2005
1580,VEHICLE THEFT,05/2005
23,ARSON,06/2005
583,BURGLARY,06/2005
2246,LARCENY/THEFT,06/2005
39,STOLEN PROPERTY,06/2005
617,VANDALISM,06/2005
1385,VEHICLE THEFT,06/2005
23,ARSON,07/2005
691,BURGLARY,07/2005
2300,LARCENY/THEFT,07/2005
48,STOLEN PROPERTY,07/2005
637,VANDALISM,07/2005
1414,VEHICLE THEFT,07/2005
20,ARSON,08/2005
594,BURGLARY,08/2005
2397,LARCENY/THEFT,08/2005
42,STOLEN PROPERTY,08/2005
612,VANDALISM,08/2005
1404,VEHICLE THEFT,08/2005
17,ARSON,09/2005
529,BURGLARY,09/2005
2195,LARCENY/THEFT,09/2005
35,STOLEN PROPERTY,09/2005
557,VANDALISM,09/2005
1420,VEHICLE THEFT,09/2005
18,ARSON,10/2005
523,BURGLARY,10/2005
2160,LARCENY/THEFT,10/2005
45,STOLEN PROPERTY,10/2005
650,VANDALISM,10/2005
1766,VEHICLE THEFT,10/2005
18,ARSON,11/2005
507,BURGLARY,11/2005
1993,LARCENY/THEFT,11/2005
32,STOLEN PROPERTY,11/2005
576,VANDALISM,11/2005
1714,VEHICLE THEFT,11/2005
17,ARSON,12/2005
559,BURGLARY,12/2005
2072,LARCENY/THEFT,12/2005
50,STOLEN PROPERTY,12/2005
554,VANDALISM,12/2005
1318,VEHICLE THEFT,12/2005
24,ARSON,01/2006
526,BURGLARY,01/2006
2337,LARCENY/THEFT,01/2006
54,STOLEN PROPERTY,01/2006
598,VANDALISM,01/2006
604,VEHICLE THEFT,01/2006
13,ARSON,02/2006
513,BURGLARY,02/2006
2060,LARCENY/THEFT,02/2006
44,STOLEN PROPERTY,02/2006
589,VANDALISM,02/2006
567,VEHICLE THEFT,02/2006
16,ARSON,03/2006
569,BURGLARY,03/2006
2329,LARCENY/THEFT,03/2006
62,STOLEN PROPERTY,03/2006
611,VANDALISM,03/2006
562,VEHICLE THEFT,03/2006
19,ARSON,04/2006
612,BURGLARY,04/2006
2381,LARCENY/THEFT,04/2006
64,STOLEN PROPERTY,04/2006
729,VANDALISM,04/2006
571,VEHICLE THEFT,04/2006
27,ARSON,05/2006
619,BURGLARY,05/2006
2330,LARCENY/THEFT,05/2006
48,STOLEN PROPERTY,05/2006
665,VANDALISM,05/2006
540,VEHICLE THEFT,05/2006
14,ARSON,06/2006
598,BURGLARY,06/2006
2260,LARCENY/THEFT,06/2006
47,STOLEN PROPERTY,06/2006
597,VANDALISM,06/2006
650,VEHICLE THEFT,06/2006
24,ARSON,07/2006
653,BURGLARY,07/2006
2200,LARCENY/THEFT,07/2006
36,STOLEN PROPERTY,07/2006
656,VANDALISM,07/2006
671,VEHICLE THEFT,07/2006
24,ARSON,08/2006
653,BURGLARY,08/2006
2394,LARCENY/THEFT,08/2006
43,STOLEN PROPERTY,08/2006
675,VANDALISM,08/2006
685,VEHICLE THEFT,08/2006
27,ARSON,09/2006
561,BURGLARY,09/2006
2291,LARCENY/THEFT,09/2006
43,STOLEN PROPERTY,09/2006
667,VANDALISM,09/2006
570,VEHICLE THEFT,09/2006
27,ARSON,10/2006
506,BURGLARY,10/2006
2379,LARCENY/THEFT,10/2006
48,STOLEN PROPERTY,10/2006
658,VANDALISM,10/2006
628,VEHICLE THEFT,10/2006
11,ARSON,11/2006
583,BURGLARY,11/2006
2104,LARCENY/THEFT,11/2006
33,STOLEN PROPERTY,11/2006
556,VANDALISM,11/2006
603,VEHICLE THEFT,11/2006
14,ARSON,12/2006
574,BURGLARY,12/2006
2162,LARCENY/THEFT,12/2006
30,STOLEN PROPERTY,12/2006
598,VANDALISM,12/2006
612,VEHICLE THEFT,12/2006
23,ARSON,01/2007
498,BURGLARY,01/2007
1959,LARCENY/THEFT,01/2007
43,STOLEN PROPERTY,01/2007
640,VANDALISM,01/2007
521,VEHICLE THEFT,01/2007
12,ARSON,02/2007
379,BURGLARY,02/2007
1620,LARCENY/THEFT,02/2007
31,STOLEN PROPERTY,02/2007
519,VANDALISM,02/2007
465,VEHICLE THEFT,02/2007
16,ARSON,03/2007
416,BURGLARY,03/2007
2043,LARCENY/THEFT,03/2007
46,STOLEN PROPERTY,03/2007
668,VANDALISM,03/2007
511,VEHICLE THEFT,03/2007
19,ARSON,04/2007
476,BURGLARY,04/2007
2008,LARCENY/THEFT,04/2007
48,STOLEN PROPERTY,04/2007
604,VANDALISM,04/2007
407,VEHICLE THEFT,04/2007
27,ARSON,05/2007
426,BURGLARY,05/2007
2108,LARCENY/THEFT,05/2007
43,STOLEN PROPERTY,05/2007
633,VANDALISM,05/2007
374,VEHICLE THEFT,05/2007
20,ARSON,06/2007
444,BURGLARY,06/2007
2181,LARCENY/THEFT,06/2007
50,STOLEN PROPERTY,06/2007
633,VANDALISM,06/2007
486,VEHICLE THEFT,06/2007
29,ARSON,07/2007
506,BURGLARY,07/2007
2526,LARCENY/THEFT,07/2007
36,STOLEN PROPERTY,07/2007
734,VANDALISM,07/2007
633,VEHICLE THEFT,07/2007
16,ARSON,08/2007
473,BURGLARY,08/2007
2459,LARCENY/THEFT,08/2007
30,STOLEN PROPERTY,08/2007
598,VANDALISM,08/2007
707,VEHICLE THEFT,08/2007
27,ARSON,09/2007
384,BURGLARY,09/2007
2376,LARCENY/THEFT,09/2007
50,STOLEN PROPERTY,09/2007
625,VANDALISM,09/2007
690,VEHICLE THEFT,09/2007
18,ARSON,10/2007
453,BURGLARY,10/2007
2282,LARCENY/THEFT,10/2007
54,STOLEN PROPERTY,10/2007
679,VANDALISM,10/2007
616,VEHICLE THEFT,10/2007
23,ARSON,11/2007
480,BURGLARY,11/2007
2017,LARCENY/THEFT,11/2007
39,STOLEN PROPERTY,11/2007
589,VANDALISM,11/2007
541,VEHICLE THEFT,11/2007
11,ARSON,12/2007
487,BURGLARY,12/2007
2020,LARCENY/THEFT,12/2007
35,STOLEN PROPERTY,12/2007
530,VANDALISM,12/2007
493,VEHICLE THEFT,12/2007
16,ARSON,01/2008
433,BURGLARY,01/2008
2143,LARCENY/THEFT,01/2008
32,STOLEN PROPERTY,01/2008
629,VANDALISM,01/2008
518,VEHICLE THEFT,01/2008
12,ARSON,02/2008
381,BURGLARY,02/2008
1875,LARCENY/THEFT,02/2008
34,STOLEN PROPERTY,02/2008
536,VANDALISM,02/2008
475,VEHICLE THEFT,02/2008
34,ARSON,03/2008
468,BURGLARY,03/2008
2207,LARCENY/THEFT,03/2008
32,STOLEN PROPERTY,03/2008
639,VANDALISM,03/2008
525,VEHICLE THEFT,03/2008
20,ARSON,04/2008
437,BURGLARY,04/2008
2325,LARCENY/THEFT,04/2008
31,STOLEN PROPERTY,04/2008
654,VANDALISM,04/2008
536,VEHICLE THEFT,04/2008
17,ARSON,05/2008
453,BURGLARY,05/2008
2145,LARCENY/THEFT,05/2008
38,STOLEN PROPERTY,05/2008
619,VANDALISM,05/2008
510,VEHICLE THEFT,05/2008
20,ARSON,06/2008
435,BURGLARY,06/2008
1960,LARCENY/THEFT,06/2008
36,STOLEN PROPERTY,06/2008
559,VANDALISM,06/2008
426,VEHICLE THEFT,06/2008
21,ARSON,07/2008
499,BURGLARY,07/2008
2188,LARCENY/THEFT,07/2008
40,STOLEN PROPERTY,07/2008
598,VANDALISM,07/2008
460,VEHICLE THEFT,07/2008
24,ARSON,08/2008
471,BURGLARY,08/2008
2172,LARCENY/THEFT,08/2008
52,STOLEN PROPERTY,08/2008
579,VANDALISM,08/2008
509,VEHICLE THEFT,08/2008
27,ARSON,09/2008
541,BURGLARY,09/2008
2211,LARCENY/THEFT,09/2008
53,STOLEN PROPERTY,09/2008
573,VANDALISM,09/2008
579,VEHICLE THEFT,09/2008
18,ARSON,10/2008
492,BURGLARY,10/2008
2408,LARCENY/THEFT,10/2008
60,STOLEN PROPERTY,10/2008
704,VANDALISM,10/2008
575,VEHICLE THEFT,10/2008
19,ARSON,11/2008
520,BURGLARY,11/2008
2057,LARCENY/THEFT,11/2008
43,STOLEN PROPERTY,11/2008
585,VANDALISM,11/2008
443,VEHICLE THEFT,11/2008
17,ARSON,12/2008
520,BURGLARY,12/2008
1945,LARCENY/THEFT,12/2008
39,STOLEN PROPERTY,12/2008
559,VANDALISM,12/2008
486,VEHICLE THEFT,12/2008
20,ARSON,01/2009
439,BURGLARY,01/2009
1919,LARCENY/THEFT,01/2009
44,STOLEN PROPERTY,01/2009
547,VANDALISM,01/2009
545,VEHICLE THEFT,01/2009
17,ARSON,02/2009
386,BURGLARY,02/2009
1836,LARCENY/THEFT,02/2009
47,STOLEN PROPERTY,02/2009
470,VANDALISM,02/2009
400,VEHICLE THEFT,02/2009
16,ARSON,03/2009
499,BURGLARY,03/2009
2181,LARCENY/THEFT,03/2009
60,STOLEN PROPERTY,03/2009
616,VANDALISM,03/2009
458,VEHICLE THEFT,03/2009
18,ARSON,04/2009
488,BURGLARY,04/2009
2035,LARCENY/THEFT,04/2009
52,STOLEN PROPERTY,04/2009
657,VANDALISM,04/2009
395,VEHICLE THEFT,04/2009
17,ARSON,05/2009
441,BURGLARY,05/2009
1968,LARCENY/THEFT,05/2009
47,STOLEN PROPERTY,05/2009
546,VANDALISM,05/2009
401,VEHICLE THEFT,05/2009
15,ARSON,06/2009
432,BURGLARY,06/2009
1851,LARCENY/THEFT,06/2009
